State,RegionName
Tennessee,Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College
Tennessee,Middle Tennessee State University
Tennessee,Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University
Tennessee,Sewanee: the University of the South
Texas,Abilene Christian University, Hardin-Simmons University, McMurry University
Texas,Sul Ross State University
Texas,University of Texas at Austin, St. Edwards University, Huston-Tillotson University
Texas,Lamar University
Texas,West Texas A&M University
Texas,Texas A&M University
Texas,Texas A&M University–Commerce
Texas,Southern Methodist University
Texas,University of North Texas, Texas Woman's University
Texas,Texas Christian University, Texas Wesleyan University
Texas,Southwestern University
Texas,Sam Houston State University
Texas,University of Houston, Texas Southern University, Rice University, Houston Baptist University
Texas,Southwestern Adventist University
Texas,Texas A&M University–Kingsville
Texas,Texas Tech University, Lubbock Christian University
Texas,Stephen F. Austin State University
Texas,Wayland Baptist University
Texas,Prairie View A&M University
Texas,Texas State University
Texas,Tarleton State University
Texas,Baylor University
Utah,Southern Utah University
Utah,Utah State University
Utah,Brigham Young University
Utah,Utah Valley University
Utah,University of Utah
Utah,Snow College
Vermont,University of Vermont, Champlain College and Saint Michael's College
Vermont,Castleton State College
Vermont,Johnson State College
Vermont,Lyndon State College
Vermont,Middlebury College
Vermont,Norwich University
Virginia,Virginia Polytechnic Institute and State University
Virginia,Bridgewater College
Virginia,University of Virginia
Virginia,Longwood University, Hampden-Sydney College
Virginia,University of Mary Washington
Virginia,James Madison University, Eastern Mennonite University
Virginia,Washington and Lee University, Virginia Military Institute
Virginia,Lynchburg College, Randolph College, Liberty University, Central Virginia Community College
Virginia,Radford University
Virginia,The College of William & Mary
Virginia,University of Virginia's College at Wise
Virginia,Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University
Washington,Western Washington University
Washington,Eastern Washington University
Washington,Central Washington University
Washington,Washington State University
Washington,University of Washington
West Virginia,Concord University
West Virginia,West Virginia Wesleyan College
West Virginia,Fairmont State University
West Virginia,Glenville State College
West Virginia,Marshall University
West Virginia,West Virginia University Institute of Technology
West Virginia,West Virginia University
West Virginia,Shepherd University
West Virginia,West Liberty University
Wisconsin,Lawrence University
Wisconsin,University of Wisconsin–Eau Claire
Wisconsin,University of Wisconsin-Green Bay
Wisconsin,University of Wisconsin–La Crosse, Western Technical College, Viterbo University
Wisconsin,University of Wisconsin–Madison
Wisconsin,University of Wisconsin–Stout
Wisconsin,Marquette University, University of Wisconsin–Milwaukee
Wisconsin,University of Wisconsin–Oshkosh
Wisconsin,University of Wisconsin–Platteville
Wisconsin,University of Wisconsin–River Falls
Wisconsin,University of Wisconsin–Stevens Point
Wisconsin,Carroll University
Wisconsin,University of Wisconsin–Whitewater
Wyoming,University of Wyoming
